dataset,processed_file,source_dataset,input_row_count,output_row_count,excluded_row_count,null_count_by_important_field,duplicate_count,invalid_value_count,unresolved_mapping_count,notes
financial_period,financial_period.csv,MULTIPLE,28,28,0,"{""financial_period_id"": 0, ""financial_year"": 0}",0,0,0,Financial-year labels normalized; original labels retained.
product,product.csv,MULTIPLE,13,13,0,"{""canonical_name"": 0, ""product_id"": 0}",0,0,0,Only unambiguous source product labels were mapped.
country,country.csv,MULTIPLE,210,210,0,"{""canonical_name"": 0, ""country_id"": 0}",0,0,4,Canonical countries derive from the global country source; unresolved supplier aliases remain in review.
country_source_mapping,country_source_mapping.csv,MULTIPLE,266,266,0,"{""country_id"": 4, ""source_dataset"": 0, ""source_name"": 0}",0,0,4,Every distinct source country identity retained.
port,port.csv,MULTIPLE,59,59,0,"{""canonical_port_name"": 0, ""country"": 0, ""liquid_bulk_facility"": 3, ""oil_terminal_facility"": 3, ""port_id"": 0}",0,0,5,World Port Index duplicates remain separate; facility values are preserved exactly where supplied and remain empty for non-WPI provisional identities.
port_source_mapping,port_source_mapping.csv,MULTIPLE,84,84,0,"{""port_id"": 0, ""source_port_name"": 0, ""source_record_key"": 0}",0,0,5,Source identities are preserved even when aliases are unresolved.
refinery,refinery.csv,india_refinery_capacity_april_2026.csv,24,24,0,"{""capacity"": 0, ""capacity_unit"": 0, ""latitude"": 24, ""longitude"": 24, ""refinery_id"": 0, ""refinery_name"": 0}",0,0,2,Coordinates remain NULL; CHENNAI state label remains manual review.
supplier_imports,supplier_imports.csv,supplier_crude_imports_2014_2017.csv,128,128,0,"{""country_id"": 6, ""financial_year"": 0, ""quantity_tonnes"": 0, ""quantity_unit"": 0}",0,0,6,All source rows are Petroleum: Crude in this package; trade value units remain undocumented.
crude_import_totals,crude_import_totals.csv,india_crude_import_totals_2023_2026.csv,3,3,0,"{""financial_year"": 0, ""quantity_thousand_metric_tonnes"": 0, ""quantity_unit"": 0}",0,0,0,Recent national totals remain separate from historical supplier imports.
petroleum_consumption,petroleum_consumption.csv,india_petroleum_consumption.csv,3888,3888,0,"{""consumption_metric_tonnes"": 0, ""consumption_unit"": 0, ""financial_year"": 0, ""month_number"": 0, ""product_id"": 0}",0,0,0,Products remain separate; no crude-oil merge.
global_oil_snapshot,global_oil_snapshot.csv,global_oil_country.csv,210,210,0,"{""consumption_barrels_per_day"": 3, ""country_id"": 0, ""exports_barrels_per_day"": 3, ""imports_barrels_per_day"": 3, ""production_barrels_per_day"": 3, ""proven_reserves_barrels"": 0, ""rank"": 4}",0,4,0,Missing metrics and em-dash ranks are normalized to NULL while raw fields are preserved.
daily_port_activity,daily_port_activity.csv,india_daily_port_activity_2019_2024.csv,59556,59556,0,"{""activity_date"": 0, ""daily_activity_id"": 0, ""export"": 0, ""import"": 0, ""port_id"": 0, ""portcalls"": 0}",0,0,6381,Port import/export measures remain numeric but undocumented in unit; source values preserved.
shipping_lanes_metadata,shipping_lanes_metadata.csv,shipping_lanes_v1.geojson,3,3,0,"{""geometry_type"": 0, ""geometry_valid"": 0, ""lane_category"": 0, ""shipping_lane_id"": 0}",0,3,0,A byte-preserved processed GeoJSON copy accompanies the metadata; geometry is validated and no route relationships are inferred.
